	Year	Series	Value
"Total, all countries or areas"	2005	"Intentional homicide rates per 100,000"	6.2935
"Total, all countries or areas"	2005	"Percentage of male and female intentional homicide victims, Male"	10.0798
"Total, all countries or areas"	2005	"Percentage of male and female intentional homicide victims, Female"	2.4473
"Total, all countries or areas"	2010	"Intentional homicide rates per 100,000"	6.0228
"Total, all countries or areas"	2010	"Percentage of male and female intentional homicide victims, Male"	9.5954
"Total, all countries or areas"	2010	"Percentage of male and female intentional homicide victims, Female"	2.3892
"Total, all countries or areas"	2017	"Intentional homicide rates per 100,000"	5.9548
"Total, all countries or areas"	2017	"Percentage of male and female intentional homicide victims, Male"	9.6755
"Total, all countries or areas"	2017	"Percentage of male and female intentional homicide victims, Female"	2.1709
Africa	2005	"Intentional homicide rates per 100,000"	13.0053
Africa	2010	"Intentional homicide rates per 100,000"	12.6815
Africa	2017	"Intentional homicide rates per 100,000"	12.9676
Americas	2005	"Intentional homicide rates per 100,000"	14.483
Americas	2005	"Percentage of male and female intentional homicide victims, Male"	26.1884
Americas	2005	"Percentage of male and female intentional homicide victims, Female"	3.081
Americas	2010	"Intentional homicide rates per 100,000"	15.812
Americas	2010	"Percentage of male and female intentional homicide victims, Male"	28.6842
Americas	2010	"Percentage of male and female intentional homicide victims, Female"	3.278
Americas	2017	"Intentional homicide rates per 100,000"	16.9538
Americas	2017	"Percentage of male and female intentional homicide victims, Male"	30.8433
Americas	2017	"Percentage of male and female intentional homicide victims, Female"	3.4395
Northern America	2005	"Intentional homicide rates per 100,000"	5.3214
Northern America	2005	"Percentage of male and female intentional homicide victims, Male"	8.4562
Northern America	2005	"Percentage of male and female intentional homicide victims, Female"	2.2562
Northern America	2010	"Intentional homicide rates per 100,000"	4.456
Northern America	2010	"Percentage of male and female intentional homicide victims, Male"	6.9798
Northern America	2010	"Percentage of male and female intentional homicide victims, Female"	1.9993
Northern America	2017	"Intentional homicide rates per 100,000"	4.9604
Northern America	2017	"Percentage of male and female intentional homicide victims, Male"	7.9903
Northern America	2017	"Percentage of male and female intentional homicide victims, Female"	2.169
Caribbean	2005	"Intentional homicide rates per 100,000"	17.0877
Caribbean	2005	"Percentage of male and female intentional homicide victims, Male"	29.9683
Caribbean	2005	"Percentage of male and female intentional homicide victims, Female"	3.7455
Caribbean	2010	"Intentional homicide rates per 100,000"	17.0291
Caribbean	2010	"Percentage of male and female intentional homicide victims, Male"	30.3516
Caribbean	2010	"Percentage of male and female intentional homicide victims, Female"	3.3716
Caribbean	2017	"Intentional homicide rates per 100,000"	14.0043
Caribbean	2017	"Percentage of male and female intentional homicide victims, Male"	27.3154
Caribbean	2017	"Percentage of male and female intentional homicide victims, Female"	3.0658
Central America	2005	"Intentional homicide rates per 100,000"	16.3494
Central America	2005	"Percentage of male and female intentional homicide victims, Male"	28.8814
